Type,# Threads,# Loops,Microseconds,Update Frequency
Locking V2 - Approx, 2, 1000000, 125549, 10000
Locking V2 - Approx, 4, 1000000, 290136, 10000
Locking V2 - Approx, 10, 1000000, 744379, 10000
Locking V2 - Approx, 20, 1000000, 1264039, 10000
Locking V2 - Approx, 0, 1000000, 7913, 100
Locking V2 - Approx, 1, 1000000, 59619, 100
Locking V2 - Approx, 2, 1000000, 135352, 100
Locking V2 - Approx, 4, 1000000, 279469, 100
Locking V2 - Approx, 10, 1000000, 762996, 100
Locking V2 - Approx, 20, 1000000, 1394106, 100
Locking V2 - Approx, 0, 1000000, 7907, 10000
Locking V2 - Approx, 1, 1000000, 49869, 10000
Locking V2 - Approx, 2, 1000000, 103742, 10000
Locking V2 - Approx, 4, 1000000, 281181, 10000
Locking V2 - Approx, 10, 1000000, 685421, 10000
Locking V2 - Approx, 20, 1000000, 1355226, 10000
Locking V2 - Approx, 0, 1000000, 7876, 100
Locking V2 - Approx, 1, 1000000, 55612, 100
Locking V2 - Approx, 2, 1000000, 143313, 100
Locking V2 - Approx, 4, 1000000, 274819, 100
Locking V2 - Approx, 10, 1000000, 754106, 100
Locking V2 - Approx, 20, 1000000, 1389533, 100
Locking V2 - Approx, 0, 1000000, 7865, 10000
Locking V2 - Approx, 1, 1000000, 47206, 10000
Locking V2 - Approx, 2, 1000000, 101779, 10000
Locking V2 - Approx, 4, 1000000, 279767, 10000
Locking V2 - Approx, 10, 1000000, 761759, 10000
Locking V2 - Approx, 20, 1000000, 1363588, 10000
Locking V2 - Approx, 0, 1000000, 7750, 100
Locking V2 - Approx, 1, 1000000, 52203, 100
Locking V2 - Approx, 2, 1000000, 92715, 100
Locking V2 - Approx, 4, 1000000, 279580, 100
Locking V2 - Approx, 10, 1000000, 747419, 100
Locking V2 - Approx, 20, 1000000, 1391552, 100
Locking V2 - Approx, 0, 1000000, 7527, 10000
Locking V2 - Approx, 1, 1000000, 48529, 10000
Locking V2 - Approx, 2, 1000000, 130521, 10000
Locking V2 - Approx, 4, 1000000, 290629, 10000
Locking V2 - Approx, 10, 1000000, 712971, 10000
Locking V2 - Approx, 20, 1000000, 1312037, 10000
Locking V2 - Approx, 0, 1000000, 7873, 100
Locking V2 - Approx, 1, 1000000, 63362, 100
Locking V2 - Approx, 2, 1000000, 137154, 100
